"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI - AWC Sufficiency Soybeans 0-150cm","null_not_rated","0","43025","47446","43025","ArbitraryLinear","AWC * Soybean Root Sufficiency (NCCPI)","35974"
"NCCPI - Water Table Depth During Summer (Soybeans)","not_null_and","0","43039","47452","43039","ArbitraryCurve","WATER TABLE DEPTH MIN DURING SUMMER GROWTH","13656"
"NCCPI - Precipitation Recharge (Soybeans)","null_not_rated","0","43026","47447","43026","ArbitraryCurve","PRECIPITATION RECHARGE","14186"
"NCCPI - Ksat Minimum within 150cm (Soybeans)","null_not_rated","0","43046","47447","43046","Sigmoid","KSAT MINIMUM ABOVE RESTRICTIVE LAYER (0-150cm)","13533"
"NCCPI_B - Organic Matter in Profile","null_not_rated","0","17698","47447","17698","ArbitraryLinear","OC IN KG/M2, WHOLE PROFILE","13769"
"NCCPI - Frost Free Days (Soybeans)","null_not_rated","0","43023","47444","43023","ArbitraryCurve","FROST-FREE DAYS","13359"
"NCCPI - Daylength Adjustment","multiply","0.15","63796","57984","63796","ArbitraryCurve","LATITUDE ESTIMATOR","55530"
"NCCPI - Mean Annual Precipitation (Soybeans)","null_not_rated","0","43024","47445","43024","ArbitraryCurve","MEAN ANNUAL PRECIPITATION FROM H&L","35985"
"NCCPI - Growing Season 100 to 135 FFD Wetness (Soybeans)","not_null_and","0","43031","47449","43031","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 100 TO 135 FFD (SOYBEANS)","35976"
"NCCPI - Growing Season > 135 to <= 160 Wetness (Soybeans)","not_null_and","0","43032","47449","43032","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 135-160 FFD (SOYBEANS)","35977"
"NCCPI - Growing Season > 160 to <= 185 Wetness (Soybeans)","not_null_and","0","43033","47449","43033","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 160-185 FFD (SOYBEANS)","35978"
"NCCPI - Growing Season > 185 to <= 210 Wetness (Soybeans)","not_null_and","0","43034","47449","43034","ArbitraryLinear","GENERAL INDICATOR MLRA DURING 185-210 FFD (SOYBEANS)","35979"
"NCCPI - Growing Season > 210 Wetness (Soybeans)","not_null_and","0","43035","47449","43035","ArbitraryLinear","GENERAL INDICATOR MLRA DURING >210 FFD (SOYBEANS)","35980"
